,City,Lat,Lng,Temp F,Max Temp F,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.42,19.23,59.0,59.0,80,14,1.01,ZA,1596062209
1,mar del plata,-38.0,-57.56,46.76,48.99,87,0,4.7,AR,1596062454
2,saint-philippe,-21.36,55.77,61.09,66.2,82,7,3.36,RE,1596062468
3,lebu,-37.62,-73.65,45.18,45.18,71,100,2.19,CL,1596062207
4,chokurdakh,70.63,147.92,45.43,45.43,63,75,9.55,RU,1596062165
5,alyangula,-13.85,136.42,51.8,51.8,93,0,16.89,AU,1596062529
6,naze,28.37,129.48,83.32,84.2,89,20,6.93,JP,1596062921
7,leningradskiy,69.38,178.42,43.41,43.41,70,15,13.09,RU,1596062515
8,uaua,-9.84,-39.48,68.72,68.72,80,25,12.19,BR,1596062820
9,usman,52.05,39.73,75.2,75.2,38,70,6.71,RU,1596062922
10,el bagre,7.59,-74.81,80.56,80.56,92,55,2.1,CO,1596062922
11,san patricio,19.22,-104.7,85.46,85.46,64,82,5.68,MX,1596062495
12,mahebourg,-20.41,57.7,71.6,71.6,78,40,11.41,MU,1596062474
13,gari,59.43,62.35,54.72,54.72,96,100,8.12,RU,1596062923
14,kapaa,22.08,-159.32,81.03,82.4,69,20,18.34,US,1596062453
15,ewa beach,21.32,-158.01,84.4,87.8,43,20,8.05,US,1596062917
16,urrao,6.32,-76.13,74.19,80.6,42,20,6.93,CO,1596062924
17,pevek,69.7,170.31,37.15,37.15,93,100,3.87,RU,1596062499
18,nanortalik,60.14,-45.24,46.71,46.71,90,57,7.76,GL,1596062207
19,atuona,-9.8,-139.03,78.98,78.98,75,6,20.54,PF,1596062174
20,methoni,36.82,21.7,79.23,82.99,44,0,4.7,GR,1596062925
21,avarua,-21.21,-159.78,71.6,71.6,73,42,8.05,CK,1596062471
22,yulara,-25.24,130.99,44.6,44.6,42,0,10.29,AU,1596062500
23,vaini,-21.2,-175.2,69.8,69.8,83,20,16.11,TO,1596062457
24,khatanga,71.97,102.5,59.85,59.85,60,100,12.71,RU,1596062476
25,rikitea,-23.12,-134.97,73.22,73.22,84,69,14.47,PF,1596062466
26,juba,4.85,31.58,69.42,69.42,91,4,2.77,SS,1596062926
27,kahului,20.89,-156.47,79.95,86.0,45,40,23.04,US,1596062926
28,cherskiy,68.75,161.3,48.72,48.72,60,14,16.26,RU,1596062485
29,butaritari,3.07,172.79,82.98,82.98,74,29,18.16,KI,1596062473
30,puerto ayora,-0.74,-90.35,71.15,75.2,64,20,21.92,EC,1596062171
31,caravelas,-17.71,-39.25,69.04,69.04,75,0,3.38,BR,1596062927
32,itaguai,-22.85,-43.78,71.06,73.0,73,90,5.82,BR,1596062655
33,castro,-24.79,-50.01,53.74,53.74,97,100,7.7,BR,1596062361
34,nikolskoye,59.7,30.79,57.65,59.0,77,1,6.71,RU,1596062459
35,pisco,-13.7,-76.22,63.79,64.4,68,7,6.93,PE,1596062200
36,zhob,31.34,69.45,83.35,83.35,43,4,5.17,PK,1596062700
37,dikson,73.51,80.55,49.59,49.59,75,61,8.01,RU,1596062454
38,mathbaria,22.29,89.96,80.91,80.91,89,100,4.74,BD,1596062929
39,winslow,35.02,-110.7,102.2,102.2,9,1,11.41,US,1596062930
40,lavrentiya,65.58,-171.0,49.23,49.23,83,94,11.3,RU,1596062483
41,punta arenas,-53.15,-70.92,39.09,39.2,80,99,13.87,CL,1596062453
42,severinia,-20.81,-48.8,80.6,80.6,24,68,6.93,BR,1596062931
43,albany,42.6,-73.97,75.34,80.01,65,19,4.76,US,1596062454
44,hearst,49.68,-83.67,63.91,63.91,73,78,7.31,CA,1596062452
45,bela vista de goias,-16.97,-48.95,78.8,78.8,36,14,2.24,BR,1596062932
46,yellowknife,62.46,-114.35,72.64,73.4,46,75,8.05,CA,1596062479
47,tuktoyaktuk,69.45,-133.04,53.6,53.6,76,75,6.93,CA,1596062465
48,cabo san lucas,22.89,-109.91,84.27,89.6,57,40,18.34,MX,1596062679
49,bredasdorp,-34.53,20.04,57.2,57.2,76,2,10.29,ZA,1596062207
50,port macquarie,-31.43,152.92,61.0,61.0,77,15,3.0,AU,1596062823
51,barrow,71.29,-156.79,46.4,46.4,75,90,21.92,US,1596062475
52,lerwick,60.15,-1.15,51.8,51.8,93,97,18.34,GB,1596062934
53,kalengwa,-13.47,25.0,55.31,55.31,48,0,5.17,ZM,1596062934
54,tiksi,71.69,128.87,40.01,40.01,86,100,8.12,RU,1596062225
55,cockburn town,21.46,-71.14,86.0,86.0,70,20,18.34,TC,1596062244
56,cape town,-33.93,18.42,55.0,57.0,93,75,6.93,ZA,1596062313
57,belmonte,-15.86,-38.88,73.4,73.4,69,20,6.93,BR,1596062935
58,georgetown,5.41,100.34,79.25,80.6,88,20,2.24,MY,1596062168
59,botou,38.07,116.57,80.37,80.37,70,31,7.31,CN,1596062728
60,neepawa,50.23,-99.47,82.4,82.4,42,75,6.93,CA,1596062661
61,saskylakh,71.92,114.08,54.12,54.12,66,0,4.59,RU,1596062460
62,yanam,16.73,82.22,79.92,79.92,89,100,4.12,IN,1596062515
63,zhigansk,66.77,123.37,50.95,50.95,62,0,20.31,RU,1596062541
64,lakes entrance,-37.88,147.98,50.0,50.0,88,26,1.01,AU,1596062936
65,rehoboth,-23.32,17.08,47.41,47.41,53,0,2.68,NA,1596062937
66,chulym,55.1,80.96,50.61,50.61,97,68,8.93,RU,1596062938
67,road town,18.42,-64.62,79.66,80.01,97,99,10.0,VG,1596062938
68,rognedino,53.8,33.56,61.18,61.18,96,98,8.12,RU,1596062938
69,isangel,-19.55,169.27,77.72,77.72,71,60,15.35,VU,1596062939
70,jamestown,42.1,-79.24,73.99,75.99,78,40,9.17,US,1596062185
71,polunochnoye,60.87,60.42,53.94,53.94,100,100,0.96,RU,1596062939
72,mandan,46.83,-100.89,84.96,87.8,48,1,8.05,US,1596062524
73,andilamena,-17.02,48.58,60.31,60.31,93,78,3.69,MG,1596062940
74,ushuaia,-54.8,-68.3,39.2,39.2,94,40,32.21,AR,1596062430
75,souillac,-20.52,57.52,71.6,71.6,78,40,11.41,MU,1596062531
76,mangai,-4.05,19.53,75.13,75.13,53,3,0.72,CD,1596062940
77,teguldet,57.31,88.17,57.47,57.47,98,100,4.25,RU,1596062513
78,kuito,-12.38,16.93,54.59,54.59,39,43,4.05,AO,1596062941
79,khuzdar,27.74,66.64,81.97,81.97,56,72,3.89,PK,1596062941
80,aswan,24.09,32.91,96.31,96.31,24,37,7.7,EG,1596062941
81,kosonsoy,41.26,71.55,75.2,75.2,44,0,4.7,UZ,1596062942
82,viedma,-40.81,-63.0,39.99,39.99,71,81,9.53,AR,1596062942
83,san cristobal,7.77,-72.22,89.6,89.6,52,40,13.87,VE,1596062942
84,busselton,-33.65,115.33,43.43,46.0,95,82,6.58,AU,1596062453
85,ixtapa,20.7,-105.2,86.0,86.0,70,90,8.05,MX,1596062943
86,soe,-9.86,124.28,60.87,60.87,82,36,4.68,ID,1596062943
87,guilin,25.28,110.29,77.0,77.0,94,87,1.5,CN,1596062792
88,luderitz,-26.65,15.16,55.4,55.4,71,0,9.17,NA,1596062193
89,faanui,-16.48,-151.75,79.2,79.2,78,100,18.12,PF,1596062509
90,ahipara,-35.17,173.17,59.11,59.11,76,100,12.57,NZ,1596062944
91,severo-kurilsk,50.68,156.12,55.76,55.76,81,98,13.4,RU,1596062286
92,olafsvik,64.89,-23.71,51.19,51.19,82,86,4.97,IS,1596062461
93,akdepe,42.06,59.38,80.6,80.6,30,43,13.87,TM,1596062944
94,ketchikan,55.34,-131.65,69.1,69.8,56,1,16.11,US,1596062514
95,broome,42.25,-75.83,68.63,70.0,83,90,3.36,US,1596062219
96,grafton,42.21,-71.69,83.55,86.0,51,40,10.29,US,1596062945
97,srednekolymsk,67.45,153.68,52.25,52.25,58,95,11.99,RU,1596062226
98,east london,-33.02,27.91,59.41,59.41,70,0,9.42,ZA,1596062239
99,mataura,-46.19,168.86,52.03,52.03,78,100,3.04,NZ,1596062462
100,shimoda,34.67,138.95,64.99,64.99,96,100,1.01,JP,1596062946
101,klaksvik,62.23,-6.59,46.4,46.4,87,96,10.29,FO,1596062530
102,port blair,11.67,92.75,80.91,80.91,81,98,18.14,IN,1596062229
103,evensk,61.95,159.23,54.63,54.63,68,97,8.23,RU,1596062947
104,seoul,37.57,126.98,75.74,77.0,100,90,4.38,KR,1596062654
105,rocha,-34.48,-54.33,40.17,40.17,83,0,0.83,UY,1596062488
106,port alfred,-33.59,26.89,58.15,58.15,71,0,16.82,ZA,1596062162
107,havre-saint-pierre,50.23,-63.6,59.0,59.0,93,90,12.75,CA,1596062948
108,arraial do cabo,-22.97,-42.03,70.88,70.88,84,85,17.0,BR,1596062474
109,port lincoln,-34.73,135.87,53.01,53.01,84,0,4.23,AU,1596062706
110,katsuura,35.13,140.3,70.05,72.0,84,100,1.01,JP,1596062482
111,coihaique,-45.58,-72.07,35.6,35.6,74,99,1.66,CL,1596062949
112,challans,46.84,-1.87,63.57,66.2,55,0,4.7,FR,1596062950
113,hithadhoo,-0.6,73.08,82.09,82.09,81,66,14.99,MV,1596062508
114,dingle,11.0,122.67,79.25,79.25,87,71,7.58,PH,1596062520
115,provideniya,64.38,-173.3,50.0,50.0,87,90,8.95,RU,1596062505
116,osoyoos,49.03,-119.45,92.46,98.6,24,20,9.17,CA,1596062951
117,fukue,32.69,128.84,80.94,80.94,88,0,8.39,JP,1596062540
118,baykit,61.67,96.37,58.41,58.41,85,99,7.18,RU,1596062952
119,asau,46.43,26.4,64.99,64.99,86,5,4.18,RO,1596062952
120,husavik,66.04,-17.34,51.8,51.8,71,92,6.93,IS,1596062952
121,ponta do sol,32.67,-17.1,69.53,71.6,60,40,9.17,PT,1596062458
122,grindavik,63.84,-22.43,50.0,50.0,87,75,9.17,IS,1596062275
123,bage,-31.33,-54.11,39.2,39.2,80,0,1.12,BR,1596062953
124,doha,25.29,51.53,94.37,95.0,63,1,1.12,QA,1596062506
125,upernavik,72.79,-56.15,43.03,43.03,88,44,5.86,GL,1596062475
126,araouane,18.9,-3.53,92.39,92.39,36,15,6.46,ML,1596062243
127,kikwit,-5.04,18.82,77.68,77.68,36,2,1.5,CD,1596062954
128,kotelnich,58.31,48.35,63.09,63.09,95,99,8.79,RU,1596062954
129,geraldton,-28.77,114.6,50.0,50.0,76,0,12.75,AU,1596062470
130,port moresby,-9.44,147.18,78.8,78.8,83,40,11.41,PG,1596062541
131,sitka,57.05,-135.33,64.4,64.4,68,1,5.82,US,1596062542
132,somerset east,-32.72,25.59,50.07,50.07,49,0,7.09,ZA,1596062955
133,nizhniy tsasuchey,50.52,115.13,68.32,68.32,80,100,2.59,RU,1596062956
134,torbay,47.67,-52.73,53.69,55.0,93,90,6.93,CA,1596062460
135,qiongshan,20.01,110.35,78.8,78.8,94,40,2.24,CN,1596062956
136,thompson,55.74,-97.86,75.2,75.2,53,40,5.82,CA,1596062478
137,enderby,52.59,-1.21,60.33,62.01,78,99,3.38,GB,1596062957
138,chuy,-33.7,-53.46,43.41,43.41,81,0,3.42,UY,1596062513
139,yabelo,4.88,38.08,61.09,61.09,72,72,9.64,ET,1596062957
140,kruisfontein,-34.0,24.73,52.93,52.93,78,0,12.37,ZA,1596062224
141,hobart,-42.88,147.33,45.18,48.0,80,20,3.36,AU,1596062227
142,adre,13.47,22.2,70.9,70.9,81,30,7.92,TD,1596062958
143,north platte,41.12,-100.77,86.25,87.8,52,1,17.22,US,1596062958
144,lasa,46.62,10.7,62.6,62.6,88,40,5.82,IT,1596062196
145,kodiak,57.79,-152.41,64.4,64.4,63,1,5.82,US,1596062480
146,sumbawanga,-7.97,31.62,55.4,55.4,82,5,9.17,TZ,1596062959
147,pangody,65.85,74.49,50.58,50.58,86,49,7.11,RU,1596062960
148,tasiilaq,65.61,-37.64,44.6,44.6,70,70,8.05,GL,1596062471
149,tzaneen,-23.83,30.16,48.2,48.2,42,0,6.93,ZA,1596062960
150,la seyne-sur-mer,43.1,5.88,73.54,75.99,86,0,6.78,FR,1596062960
151,bima,-8.47,118.72,71.62,71.62,87,8,4.41,ID,1596062961
152,new norfolk,-42.78,147.06,44.64,48.0,75,16,1.01,AU,1596062464
153,elko,41.0,-115.5,94.77,96.8,11,20,4.7,US,1596062961
154,bismarck,46.81,-100.78,85.12,87.8,35,1,6.93,US,1596062962
155,cajibio,2.62,-76.57,64.04,64.04,88,55,0.76,CO,1596062962
156,puerto escondido,15.85,-97.07,84.2,84.2,66,75,5.82,MX,1596062851
157,cayenne,4.93,-52.33,82.4,82.4,78,63,4.7,GF,1596062468
158,burnie,-41.07,145.92,50.47,51.01,69,16,1.01,AU,1596062963
159,sorong,-0.88,131.25,78.42,78.42,87,76,13.42,ID,1596062539
160,carauari,-4.88,-66.9,80.67,80.67,63,52,2.53,BR,1596062963
161,longyearbyen,78.22,15.64,57.2,57.2,71,20,5.82,SJ,1596062264
162,bluff,-46.6,168.33,53.42,53.42,72,100,12.46,NZ,1596062463
163,belen,36.49,36.22,80.6,80.6,74,0,17.22,TR,1596062964
164,rawson,-43.3,-65.1,45.84,45.84,58,79,15.35,AR,1596062557
165,anadyr,64.75,177.48,55.18,55.4,82,75,2.24,RU,1596062484
166,aklavik,68.22,-135.01,55.4,55.4,76,75,3.36,CA,1596062965
167,norman wells,65.28,-126.83,64.4,64.4,72,75,11.41,CA,1596062502
168,carnarvon,-24.87,113.63,51.8,51.8,100,0,8.05,AU,1596062183
169,omsukchan,62.53,155.8,45.66,45.66,76,97,10.47,RU,1596062965
170,ilhabela,-23.78,-45.36,66.42,66.42,87,100,8.63,BR,1596062966
171,huntingdon,52.33,-0.19,62.15,63.0,83,96,4.99,GB,1596062870
172,saint george,37.1,-113.58,105.15,107.01,6,1,12.75,US,1596062429
173,esperance,-33.87,121.9,46.4,46.4,93,0,14.99,AU,1596062489
174,cidreira,-30.18,-50.21,46.29,46.29,75,3,4.18,BR,1596062393
175,angoche,-16.23,39.91,70.5,70.5,82,40,8.75,MZ,1596062967
176,valparaiso,-33.04,-71.63,55.63,59.0,41,0,3.36,CL,1596062967
177,kondinskoye,59.65,67.41,48.27,48.27,77,56,4.52,RU,1596062967
178,tchaourou,8.89,2.6,71.31,71.31,94,5,4.43,BJ,1596062968
179,narsaq,60.92,-46.05,57.2,57.2,71,17,6.93,GL,1596062218
180,mmabatho,-25.85,25.63,46.4,46.4,42,0,6.93,ZA,1596062968
181,amapa,1.0,-52.0,76.24,76.24,80,93,3.02,BR,1596062968
182,puerto colombia,10.99,-74.95,84.2,84.2,79,75,12.75,CO,1596062969
183,camarillo,34.22,-119.04,66.72,69.8,60,1,9.17,US,1596062695
184,sooke,48.37,-123.73,72.59,78.01,68,5,6.93,CA,1596062969
185,basoko,1.24,23.62,72.21,72.21,90,82,4.81,CD,1596062969
186,igarka,67.47,86.58,56.41,56.41,80,36,7.61,RU,1596062970
187,poum,-20.23,164.02,73.78,73.78,87,31,22.44,NC,1596062549
188,santa cruz,-17.8,-63.17,65.08,66.2,27,75,12.75,BO,1596062970
189,komsomolskiy,40.43,71.72,75.2,75.2,44,0,4.7,UZ,1596062176
190,sigli,5.38,95.96,78.57,78.57,71,100,5.97,ID,1596062971
191,half moon bay,37.46,-122.43,69.58,75.99,82,75,8.05,US,1596062485
192,dudinka,69.41,86.18,57.2,57.2,71,0,8.95,RU,1596062971
193,khandbari,27.37,87.2,73.0,73.0,72,100,1.43,NP,1596062972
194,petrolina de goias,-16.09,-49.34,72.14,78.8,42,44,4.7,BR,1596062972
195,airai,-8.93,125.41,56.55,56.55,54,48,3.42,TL,1596062459
196,ponta delgada,37.73,-25.67,71.6,71.6,94,75,9.17,PT,1596062972
197,korla,41.76,86.15,74.68,74.68,33,95,15.12,CN,1596062703
198,ribeira grande,38.52,-28.7,75.2,75.2,88,40,16.11,PT,1596062468
199,gushikawa,26.35,127.87,84.13,84.2,83,40,12.75,JP,1596062973
200,jalu,29.03,21.55,84.16,84.16,25,0,8.99,LY,1596062497
201,hambantota,6.12,81.12,75.2,75.2,100,75,4.7,LK,1596062478
202,morant bay,17.88,-76.41,88.92,91.4,70,20,12.75,JM,1596062974
203,roald,62.58,6.13,56.53,57.2,87,62,6.93,NO,1596062974
204,temecula,33.49,-117.15,88.43,97.0,30,1,10.29,US,1596062975
205,itarema,-2.92,-39.92,78.21,78.21,77,12,13.73,BR,1596062557
206,kenora,49.82,-94.43,77.0,77.0,44,20,6.93,CA,1596062728
207,zheleznogorsk,52.33,35.37,63.88,63.88,94,100,3.76,RU,1596062975
208,puro,12.48,123.38,81.21,81.21,82,97,9.04,PH,1596062367
209,vanimo,-2.67,141.3,82.2,82.2,73,10,6.31,PG,1596062976
210,lianzhou,24.78,112.38,78.37,78.37,86,100,1.03,CN,1596062976
211,high level,58.52,-117.14,73.4,73.4,46,40,6.93,CA,1596062976
212,ouadda,8.08,22.4,67.14,67.14,95,80,1.99,CF,1596062522
213,margate,51.38,1.39,62.33,64.0,65,81,1.99,GB,1596062977
214,galle,6.04,80.22,79.16,79.16,87,97,13.56,LK,1596062977
215,kenai,60.55,-151.26,67.42,69.8,63,1,9.17,US,1596062977
216,pombas,17.15,-25.02,80.6,80.6,74,20,12.75,CV,1596062978
217,faya,18.39,42.45,63.5,64.4,93,77,3.36,SA,1596062978
218,shache,38.42,77.24,73.85,73.85,31,14,6.71,CN,1596062978
219,oktyabrskiy,54.48,53.47,59.52,59.52,84,44,4.72,RU,1596062978
220,lumberton,34.62,-79.01,75.81,77.0,94,90,9.17,US,1596062780
221,huinan,42.62,126.26,71.47,71.47,85,50,5.12,CN,1596062979
222,lhokseumawe,5.18,97.15,77.61,77.61,84,100,5.73,ID,1596062980
223,saldanha,-33.01,17.94,48.2,48.2,87,0,1.88,ZA,1596062234
224,san pedro,14.35,121.02,77.0,77.0,100,100,3.33,PH,1596062348
225,okha,53.57,142.95,69.93,69.93,89,47,4.43,RU,1596062794
226,bengkulu,-3.8,102.27,73.31,73.31,89,79,4.34,ID,1596062501
227,george town,5.41,100.34,79.27,80.6,88,20,2.24,MY,1596062981
228,marrakesh,31.63,-8.01,86.0,86.0,45,75,2.24,MA,1596062979
229,vila velha,-20.33,-40.29,75.61,75.99,78,40,4.7,BR,1596062517
230,hasaki,35.73,140.83,68.0,68.0,94,75,8.05,JP,1596062504
231,changde,29.05,111.68,77.92,77.92,93,77,3.94,CN,1596062982
232,boa vista,2.82,-60.67,89.6,89.6,49,40,4.7,BR,1596062553
233,innisfail,-17.53,146.03,61.0,61.0,70,2,5.99,AU,1596062983
234,mana,5.66,-53.78,79.65,79.65,84,88,10.49,GF,1596062983
235,mbandaka,0.05,18.26,70.97,70.97,88,96,3.29,CD,1596062983
236,sobolevo,54.43,31.9,57.2,57.2,92,21,8.1,RU,1596062546
237,princeton,25.54,-80.41,86.47,89.6,62,20,10.29,US,1596062864
238,laguna,38.42,-121.42,97.63,99.0,14,5,9.17,US,1596062984
239,tuatapere,-46.13,167.68,53.76,53.76,73,100,7.96,NZ,1596062487
240,tilichiki,60.47,166.1,53.74,53.74,92,100,2.75,RU,1596062519
241,kharitonovo,61.4,47.5,56.64,56.64,95,97,4.0,RU,1596062985
242,port elizabeth,-33.92,25.57,57.2,57.2,67,0,10.29,ZA,1596062483
243,nuuk,64.18,-51.72,46.4,46.4,93,89,4.7,GL,1596062985
244,fomboni,-12.28,43.74,75.88,75.88,86,74,13.56,KM,1596062511
245,gopalpur,19.27,84.92,82.06,82.06,84,99,5.19,IN,1596062986
246,vestmanna,62.16,-7.17,46.4,46.4,87,90,10.29,FO,1596062986
247,honningsvag,70.98,25.97,53.6,53.6,81,1,10.29,NO,1596062986
248,vredendal,-31.67,18.5,52.38,52.38,85,0,5.68,ZA,1596062986
249,touros,-5.2,-35.46,73.4,73.4,94,40,8.05,BR,1596062463
250,raymond,43.9,-70.47,81.12,84.0,68,1,5.97,US,1596062483
251,camacha,33.08,-16.33,69.8,69.8,68,75,10.29,PT,1596062315
252,bethel,41.37,-73.41,85.1,89.01,58,1,10.29,US,1596062456
253,palana,59.12,159.97,51.89,51.89,86,82,7.43,RU,1596062987
254,kamenka,51.32,42.77,65.98,66.99,62,15,7.23,RU,1596062988
255,dakar,14.69,-17.44,82.4,82.4,78,75,11.41,SN,1596062790
256,mount gambier,-37.83,140.77,37.4,37.4,100,40,2.84,AU,1596062462
257,klyuchi,52.27,79.17,55.04,55.04,87,10,7.74,RU,1596062988
258,mount isa,-20.73,139.5,60.8,60.8,38,0,10.29,AU,1596062542
259,minas,-34.38,-55.24,43.52,46.4,75,0,0.18,UY,1596062989
260,dongsheng,39.82,109.98,73.06,73.06,53,100,16.17,CN,1596062989
261,prince rupert,54.32,-130.32,68.0,68.0,60,1,5.82,CA,1596062989
262,thinadhoo,0.53,72.93,82.99,82.99,76,50,17.38,MV,1596062990
263,port hardy,50.7,-127.42,64.4,64.4,68,40,6.93,CA,1596062318
264,shelburne,44.08,-80.2,78.03,79.0,65,20,6.93,CA,1596062487
265,anchorage,61.22,-149.9,71.56,73.4,40,1,4.7,US,1596062898
266,lompoc,34.64,-120.46,68.5,70.0,64,6,16.11,US,1596062468
267,qaanaaq,77.48,-69.36,43.21,43.21,68,1,3.11,GL,1596062194
268,rio grande,-32.03,-52.1,39.99,39.99,93,0,5.86,BR,1596062281
269,iskateley,67.68,53.15,45.27,45.27,91,54,7.34,RU,1596062992
270,jian,27.12,114.98,81.23,81.23,83,100,3.11,CN,1596062992
271,te anau,-45.42,167.72,50.9,50.9,82,100,3.76,NZ,1596062555
272,kibaya,-5.3,36.57,55.54,55.54,94,0,4.85,TZ,1596062993
273,hilo,19.73,-155.09,79.68,82.4,54,1,6.93,US,1596062466
274,tshela,-4.98,12.93,67.51,67.51,88,99,1.95,CD,1596062993
275,williams lake,52.14,-122.14,77.0,77.0,29,40,3.36,CA,1596062993
276,ca mau,9.18,105.15,78.51,78.51,87,100,3.76,VN,1596062994
277,atambua,-9.11,124.89,67.73,67.73,72,38,5.75,ID,1596062994
278,monrovia,6.3,-10.8,77.0,77.0,83,75,3.36,LR,1596062994
279,katherine,-14.47,132.27,53.6,53.6,58,0,6.93,AU,1596062994
280,itoman,26.12,127.67,84.87,86.0,79,40,10.29,JP,1596062995
281,berlevag,70.86,29.09,53.6,53.6,81,2,10.29,NO,1596062505
282,sao joao da barra,-21.64,-41.05,71.26,71.26,87,9,12.97,BR,1596062995
283,stornoway,58.21,-6.39,48.96,50.0,87,97,1.12,GB,1596062995
284,hohen neuendorf,52.67,13.28,55.38,63.0,71,2,3.36,DE,1596062996
285,kaitangata,-46.28,169.85,51.01,51.01,79,100,3.0,NZ,1596062483
286,juneau,58.3,-134.42,66.2,66.2,59,75,8.05,US,1596062704
287,qui nhon,13.77,109.23,79.61,79.61,80,78,5.23,VN,1596062996
288,chibuto,-24.69,33.53,56.46,56.46,84,0,2.26,MZ,1596062997
289,descalvado,-21.9,-47.62,73.4,73.4,60,20,13.87,BR,1596062997
290,aljezur,37.32,-8.8,75.99,75.99,61,0,4.94,PT,1596062997
291,hohhot,40.81,111.65,66.2,66.2,88,100,4.47,CN,1596062998
292,calamar,10.25,-74.91,86.0,86.0,79,75,12.75,CO,1596062998
