,City,Lat,Lng,Temp F,Max Temp F,Humidity,Cloudiness,Wind Speed,Country,Date
293,hamilton,39.18,-84.53,88.86,91.0,48,20,8.05,US,1596062921
294,thanesar,29.98,76.82,78.67,78.67,89,98,10.04,IN,1596062999
295,kurumkan,54.3,110.3,67.93,67.93,77,100,1.86,RU,1596062999
296,timucuy,20.82,-89.52,93.61,93.99,49,40,17.22,MX,1596062999
297,ancud,-41.87,-73.82,43.79,45.0,87,99,3.36,CL,1596062484
298,makakilo city,21.35,-158.09,84.43,87.8,43,20,8.05,US,1596063000
299,lagoa,39.05,-27.98,73.89,73.89,91,10,26.08,PT,1596062500
300,jinan,36.67,117.0,82.0,82.0,75,0,1.77,CN,1596063000
301,nome,64.5,-165.41,49.64,50.0,87,90,11.41,US,1596062484
302,jinji,23.23,110.83,80.96,80.96,82,100,2.26,CN,1596063001
303,khani,41.96,42.96,69.8,69.8,94,57,2.24,GE,1596062541
304,oktyabrskoye,43.06,44.74,66.09,66.2,93,100,4.47,RU,1596063001
305,tripoli,32.88,13.19,78.8,78.8,69,0,11.21,LY,1596063002
306,batagay-alyta,67.8,130.41,53.53,53.53,52,0,4.16,RU,1596063002
307,los llanos de aridane,28.66,-17.92,68.23,73.4,73,90,16.11,ES,1596062479
308,kasongo-lunda,-6.47,16.82,69.57,69.57,37,0,0.67,CD,1596062387
309,terrace,54.52,-128.6,77.0,77.0,27,40,4.7,CA,1596063003
310,nhulunbuy,-12.23,136.77,71.6,71.6,53,0,12.75,AU,1596062498
311,jadu,31.95,12.03,72.23,72.23,54,0,11.61,LY,1596063003
312,gravdal,68.12,13.5,62.28,62.28,73,72,7.18,NO,1596063003
313,halifax,44.65,-63.57,78.19,81.0,69,75,5.82,CA,1596062388
314,victoria,22.29,114.16,84.18,86.0,83,20,3.36,HK,1596062233
315,maniitsoq,65.42,-52.9,48.92,48.92,76,46,4.25,GL,1596063004
316,dzaoudzi,-12.79,45.27,75.2,75.2,88,0,11.41,YT,1596063004
317,salalah,17.02,54.09,80.6,80.6,100,75,6.93,OM,1596062479
318,helena,46.59,-112.04,89.8,91.4,17,1,8.05,US,1596063005
319,fez,34.04,-5.0,84.2,84.2,51,40,10.29,MA,1596063005
320,gouyave,12.16,-61.73,84.2,84.2,83,40,20.8,GD,1596063005
321,ellwangen,48.96,10.13,57.34,61.0,46,3,0.67,DE,1596063006
322,manaure,11.78,-72.44,83.93,83.93,72,94,21.43,CO,1596063006
323,ngunguru,-35.62,174.5,59.0,59.0,3,100,10.0,NZ,1596062482
324,beira,-19.84,34.84,60.39,60.8,93,0,5.82,MZ,1596063006
325,cascais,38.7,-9.42,68.02,69.01,77,0,15.01,PT,1596063007
326,luganville,-15.53,167.17,78.8,78.8,94,75,1.12,VU,1596062512
327,yaguara,2.66,-75.52,87.8,87.8,45,75,10.29,CO,1596063007
328,san quintin,30.48,-115.95,74.21,74.21,64,0,16.26,MX,1596063007
329,nantucket,41.28,-70.1,72.75,73.4,78,1,10.29,US,1596063008
330,kirakira,-10.45,161.92,77.23,77.23,90,100,5.64,SB,1596062487
331,keighley,53.87,-1.91,53.89,54.0,76,79,3.36,GB,1596063008
332,tautira,-17.73,-149.15,82.2,82.4,69,75,20.8,PF,1596063009
333,moyale,3.52,39.06,69.91,69.91,66,76,8.95,KE,1596063009
334,bambous virieux,-20.34,57.76,71.31,71.6,78,40,11.41,MU,1596062460
335,storm lake,42.64,-95.21,81.21,82.4,74,1,10.29,US,1596063009
336,petrov val,50.14,45.21,69.28,69.28,38,19,4.23,RU,1596063009
337,abu dhabi,24.47,54.37,93.2,93.2,75,52,6.93,AE,1596063010
338,caceres,39.52,-6.37,84.99,84.99,30,0,4.0,ES,1596063010
339,zhashkiv,49.25,30.11,66.87,66.87,95,80,7.45,UA,1596063010
340,zambezi,-13.54,23.1,57.06,57.06,43,0,4.65,ZM,1596063011
341,tambo,-14.8,-73.92,41.74,41.74,62,20,4.99,PE,1596062545
342,ambilobe,-13.2,49.05,68.04,68.04,81,23,3.94,MG,1596062491
343,constitucion,-35.33,-72.42,49.35,49.35,70,95,5.1,CL,1596062485
344,durusu,41.31,28.68,75.49,78.01,88,0,8.05,TR,1596063012
345,alofi,-19.06,-169.92,77.0,77.0,65,75,12.75,NU,1596062542
346,cortez,37.35,-108.59,88.75,93.2,15,1,12.75,US,1596063012
347,bathsheba,13.22,-59.52,82.4,82.4,83,75,19.46,BB,1596062403
348,boda,4.32,17.47,68.65,68.65,96,82,2.91,CF,1596063013
349,westerland,54.91,8.3,59.0,59.0,72,69,16.11,DE,1596063013
350,krasnoselkup,65.7,82.47,56.01,56.01,61,57,6.04,RU,1596062517
351,sao filipe,14.9,-24.5,77.67,77.67,86,51,5.57,CV,1596062347
352,xuddur,4.12,43.89,73.04,73.04,81,2,14.61,SO,1596062222
353,fare,-16.7,-151.02,79.79,79.79,77,100,19.17,PF,1596063014
354,jaen,38.0,-3.5,78.96,78.96,32,4,6.35,ES,1596062516
355,barmer,25.75,71.38,84.9,84.9,70,41,13.71,IN,1596062466
356,coahuayana,18.73,-103.68,69.8,69.8,94,90,3.65,MX,1596063015
357,bac lieu,9.29,105.72,80.01,80.01,83,100,7.09,VN,1596063015
358,vestmannaeyjar,63.44,-20.27,52.3,52.3,87,28,5.39,IS,1596063015
359,suhbaatar,50.23,106.21,63.32,63.32,87,90,2.89,MN,1596063016
360,taoudenni,22.68,-3.98,99.0,99.0,25,2,8.21,ML,1596063016
361,dhilwan,31.52,75.35,80.6,80.6,94,75,3.36,IN,1596063016
362,gizo,-8.1,156.84,83.8,83.8,74,11,9.95,SB,1596062461
363,oystese,60.39,6.19,54.32,55.0,94,99,2.66,NO,1596063017
364,karratha,-20.74,116.85,65.35,65.35,38,0,11.32,AU,1596062256
365,port hedland,-20.32,118.57,53.6,53.6,32,0,6.93,AU,1596063017
366,aldan,58.6,125.39,55.22,55.22,96,100,4.63,RU,1596063018
367,bataipora,-22.3,-53.27,57.67,57.67,85,60,4.5,BR,1596063018
368,la ronge,55.1,-105.28,86.0,86.0,48,75,4.7,CA,1596062521
369,hofn,64.25,-15.21,51.8,51.8,82,13,2.48,IS,1596063018
370,pangoa,-12.12,-73.0,69.21,69.21,89,11,1.21,PE,1596063019
371,forestville,38.85,-76.88,90.32,93.99,40,1,9.17,US,1596062491
372,kununurra,-15.77,128.73,68.0,68.0,30,0,10.29,AU,1596063019
373,pangkalanbuun,-2.68,111.62,70.57,70.57,97,99,1.52,ID,1596063019
374,fairbanks,64.84,-147.72,64.71,66.0,59,1,10.29,US,1596063003
375,necochea,-38.55,-58.74,42.01,42.01,87,0,1.01,AR,1596063020
376,hosakote,14.28,77.17,74.52,74.52,81,100,12.3,IN,1596063020
377,bogale,16.28,95.4,79.61,79.61,88,100,3.36,MM,1596063020
378,puerto del rosario,28.5,-13.86,73.4,73.4,78,40,20.8,ES,1596062526
379,verkh-chebula,56.03,87.62,56.34,56.34,92,78,5.93,RU,1596063021
380,nianzishan,47.52,122.88,70.54,70.54,87,97,3.0,CN,1596063021
381,telimele,10.92,-13.33,70.0,70.0,100,100,4.25,GN,1596063022
382,upington,-28.45,21.26,48.2,48.2,42,0,2.24,ZA,1596063022
383,bakhmach,51.18,32.76,64.53,64.53,97,97,5.93,UA,1596063022
384,kaeo,-35.1,173.78,59.0,59.0,3,100,10.0,NZ,1596063022
385,bubaque,11.28,-15.83,78.46,78.46,86,100,20.04,GW,1596063023
386,kamien pomorski,53.97,14.77,60.22,63.0,62,29,5.82,PL,1596063023
387,newport,51.59,-3.0,59.61,62.01,81,100,4.0,GB,1596062837
388,anloga,5.79,0.9,75.2,75.2,94,20,9.17,GH,1596063023
389,flinders,-34.58,150.86,55.0,55.0,87,0,7.0,AU,1596062452
390,el dorado,33.21,-92.67,80.6,80.6,94,75,4.9,US,1596063018
391,goma,-1.68,29.22,63.23,63.23,66,15,1.86,CD,1596063024
392,mormugao,15.4,73.8,79.9,79.9,83,100,10.54,IN,1596063025
393,tsuruga,35.65,136.06,78.01,78.01,95,89,2.01,JP,1596062825
394,iiyama,36.85,138.37,73.99,73.99,100,79,0.94,JP,1596063025
395,havoysund,71.0,24.66,64.4,64.4,63,83,4.7,NO,1596063025
396,gorele,41.03,39.0,77.0,77.0,57,40,10.29,TR,1596063026
397,portland,45.52,-122.68,91.11,93.99,27,20,9.17,US,1596062280
398,thyolo,-16.07,35.14,54.25,54.25,90,0,1.63,MW,1596063026
399,karakol,42.49,78.39,49.55,49.55,76,59,2.08,KG,1596063026
400,jeremie,18.65,-74.12,84.15,84.15,68,0,3.91,HT,1596063027
401,buraydah,26.33,43.98,95.0,95.0,32,5,4.7,SA,1596063027
402,alibag,18.64,72.88,80.6,80.6,94,75,4.7,IN,1596062512
403,chapais,49.78,-74.85,69.8,69.8,73,90,5.82,CA,1596063027
404,sterling,39.01,-77.43,88.61,91.4,36,20,5.82,US,1596063028
405,krasnoborsk,61.56,45.93,57.36,57.36,96,95,4.47,RU,1596062486
406,vinh,18.67,105.67,79.66,79.66,81,29,3.87,VN,1596063029
407,fort nelson,58.81,-122.7,64.4,64.4,68,75,10.29,CA,1596062446
408,nova olinda do norte,-3.89,-59.09,79.47,79.47,46,1,2.06,BR,1596063029
409,iqaluit,63.75,-68.51,71.6,71.6,43,20,17.22,CA,1596062804
410,mindelo,16.89,-24.98,80.6,80.6,74,20,12.75,CV,1596063029
411,tondano,1.3,124.91,75.2,75.2,94,20,4.7,ID,1596063030
412,togitsu,32.83,129.85,78.39,78.8,94,40,5.82,JP,1596063030
413,yomou,7.56,-9.27,69.19,69.19,98,54,4.5,GN,1596063030
414,westport,41.14,-73.36,83.12,86.0,58,1,13.87,US,1596062533
415,harnai,30.1,67.94,88.36,88.36,45,24,1.99,PK,1596063031
416,trincomalee,8.57,81.23,80.06,80.06,81,99,19.71,LK,1596063031
417,spasskoye,44.61,132.8,71.47,71.47,79,48,8.63,RU,1596063031
418,otavi,-19.65,17.33,56.71,56.71,33,0,9.26,NA,1596063032
419,athabasca,54.72,-113.29,79.29,79.29,57,41,2.93,CA,1596062366
420,vao,-22.67,167.48,72.21,72.21,84,83,25.61,NC,1596063032
421,santa cruz cabralia,-16.28,-39.02,73.4,73.4,69,20,6.93,BR,1596062909
422,mocuba,-16.84,36.99,59.4,59.4,93,0,1.68,MZ,1596063033
423,kabanjahe,3.1,98.49,77.0,77.0,94,40,1.88,ID,1596063033
424,bajil,15.06,43.29,86.0,86.0,66,100,6.04,YE,1596063033
425,yeniseysk,58.45,92.17,58.89,58.89,86,33,5.95,RU,1596063034
426,srandakan,-7.94,110.25,70.38,70.38,81,46,4.68,ID,1596063034
427,cap malheureux,-19.98,57.61,71.01,71.01,77,42,4.0,MU,1596062509
428,surok,56.45,48.12,68.0,68.0,60,40,11.18,RU,1596063034
429,codrington,-38.27,141.97,46.63,46.63,87,56,5.32,AU,1596062362
430,meadow lake,34.8,-106.54,93.06,93.2,18,20,10.29,US,1596063035
431,herat,34.5,62.0,72.45,72.45,21,0,13.94,AF,1596063035
432,petukhovo,55.07,67.9,56.43,56.43,59,97,5.17,RU,1596063036
433,kamaishi,39.27,141.88,70.66,70.66,75,10,7.05,JP,1596062511
434,rovaniemi,66.5,25.72,59.0,59.0,67,100,14.99,FI,1596063036
435,qinzhou,21.95,108.62,82.54,82.54,85,52,4.94,CN,1596063036
436,saint-augustin,51.23,-58.65,60.24,60.24,75,22,12.06,CA,1596062553
437,vardo,70.37,31.11,51.8,51.8,93,40,19.46,NO,1596062493
438,muzhi,65.37,64.67,49.3,49.3,95,78,5.64,RU,1596063037
439,alexandria,31.22,29.96,78.8,78.8,78,40,6.93,EG,1596063037
440,beloha,-25.17,45.05,61.36,61.36,94,2,5.86,MG,1596063038
441,yar-sale,66.83,70.83,49.51,49.51,81,86,6.38,RU,1596062412
442,tyumentsevo,53.32,81.5,53.55,53.55,97,94,8.57,RU,1596063038
443,shitanjing,39.23,106.34,75.38,75.38,41,100,10.69,CN,1596063038
444,irtyshskiy,58.33,68.13,46.4,46.4,83,55,3.4,RU,1596063039
445,bohdan,48.04,24.35,64.04,64.04,77,82,1.03,UA,1596063039
446,zabaykalsk,49.63,117.32,67.01,67.01,83,100,2.68,RU,1596063039
447,urubicha,-15.38,-62.95,67.55,67.55,36,0,6.11,BO,1596063039
448,ostrovnoy,68.05,39.51,48.88,48.88,90,0,13.09,RU,1596063040
449,lorengau,-2.02,147.27,84.34,84.34,64,19,5.84,PG,1596062479
450,meulaboh,4.14,96.13,77.54,77.54,77,95,4.5,ID,1596062543
451,harper,4.38,-7.72,75.6,75.6,86,81,9.64,LR,1596063040
452,shingu,33.73,135.98,79.27,79.27,85,21,2.59,JP,1596062521
453,loa janan,-0.58,117.09,73.09,73.09,93,100,4.18,ID,1596063041
454,taonan,45.33,122.78,73.94,73.94,76,33,6.22,CN,1596063041
455,dumaguete,9.31,123.31,80.92,80.92,78,99,5.95,PH,1596063041
456,mosquera,4.71,-74.23,60.8,60.8,77,75,9.17,CO,1596063042
457,crotone,39.09,17.12,80.6,80.6,55,0,4.0,IT,1596063042
458,pipar,26.39,73.54,87.73,87.73,59,92,8.3,IN,1596063042
459,gonaives,19.45,-72.68,83.41,83.41,71,1,11.16,HT,1596063042
460,watrous,51.67,-105.47,86.43,86.43,48,72,10.16,CA,1596063043
461,mehamn,71.04,27.85,53.6,53.6,81,0,10.29,NO,1596062460
462,savannah bight,16.45,-85.85,83.82,83.82,79,94,20.0,HN,1596063043
463,nishihara,26.18,127.76,84.63,86.0,83,40,10.29,JP,1596063043
464,bumba,2.18,22.47,70.77,70.77,94,100,2.26,CD,1596063044
465,sylvan lake,52.32,-114.09,78.8,78.8,65,40,8.05,CA,1596063044
466,san andres del rabanedo,42.61,-5.62,71.08,75.2,33,0,5.82,ES,1596063044
467,butembo,0.15,29.28,56.86,56.86,91,18,2.89,CD,1596063044
468,tual,-5.67,132.75,78.89,78.89,84,98,22.91,ID,1596062544
469,aban,56.67,96.06,58.28,58.28,84,0,4.81,RU,1596063045
470,noshiro,40.2,140.02,69.8,69.8,83,75,5.82,JP,1596063045
471,qasigiannguit,68.82,-51.19,44.6,44.6,75,71,4.7,GL,1596063045
472,acapulco,16.86,-99.89,86.0,86.0,79,75,6.93,MX,1596062279
473,kangaatsiaq,68.31,-53.46,43.47,43.47,82,75,11.36,GL,1596062868
474,bonthe,7.53,-12.51,76.32,76.32,85,97,11.21,SL,1596063046
475,pasni,25.26,63.47,83.82,83.82,86,84,6.24,PK,1596063046
476,asfi,32.3,-9.24,68.58,68.58,90,5,10.58,MA,1596062483
477,aguada de pasajeros,22.39,-80.85,91.4,91.4,63,10,6.93,CU,1596063047
478,bertea,45.23,25.87,63.34,66.0,49,0,3.0,RO,1596063047
479,hurghada,27.26,33.81,95.0,95.0,30,4,8.05,EG,1596063048
480,segou,13.43,-6.22,81.36,81.36,69,29,8.88,ML,1596063048
481,imeni poliny osipenko,52.42,136.49,77.59,77.59,86,20,7.78,RU,1596063048
482,hay river,60.82,-115.8,73.4,73.4,43,75,9.17,CA,1596063048
483,alamosa,37.47,-105.87,78.8,78.8,21,1,19.46,US,1596062978
484,talnakh,69.49,88.4,57.2,57.2,67,53,8.95,RU,1596063049
485,tiznit,29.58,-9.5,76.5,76.5,49,0,2.08,MA,1596063049
486,haines junction,60.75,-137.51,73.47,73.47,42,39,2.77,CA,1596063049
487,hutchinson,38.06,-97.93,89.26,90.0,58,75,11.41,US,1596062839
488,sibu,2.3,111.82,75.07,75.2,94,40,3.36,MY,1596063050
489,shizunai,42.33,142.37,66.85,66.85,78,16,3.91,JP,1596063050
490,port-gentil,-0.72,8.78,77.0,77.0,83,75,14.32,GA,1596062561
491,spencer,43.14,-95.14,80.76,84.2,51,75,10.29,US,1596063051
492,carutapera,-1.2,-46.02,76.55,76.55,87,0,4.72,BR,1596063051
493,aqtobe,50.28,57.21,57.2,57.2,71,54,2.24,KZ,1596063051
494,kyabe,9.45,18.94,70.97,70.97,90,100,4.52,TD,1596063051
495,southern pines,35.17,-79.39,81.07,82.0,74,1,5.82,US,1596063052
496,bowen,-20.02,148.23,63.41,69.01,87,0,4.7,AU,1596063052
497,alvaraes,-3.22,-64.8,82.4,82.4,65,20,3.36,BR,1596063052
498,bandar-e lengeh,26.56,54.88,89.73,89.73,76,52,1.77,IR,1596063053
499,bonavista,48.65,-53.11,53.01,53.01,84,32,3.0,CA,1596063053
500,bom jesus da lapa,-13.26,-43.42,75.33,75.33,38,15,7.74,BR,1596063053
501,kavaratti,10.57,72.64,82.0,82.0,78,100,16.33,IN,1596063054
502,clyde river,70.47,-68.59,41.0,41.0,93,75,10.29,CA,1596062497
503,bintulu,3.17,113.03,75.09,75.2,100,40,3.36,MY,1596063054
504,juquia,-24.32,-47.63,58.42,58.42,95,100,5.06,BR,1596063054
505,ocos,14.51,-92.19,84.2,84.2,79,75,6.93,GT,1596063055
506,snasa,64.25,12.38,55.33,55.33,85,100,1.34,NO,1596063055
507,new port richey,28.24,-82.72,86.38,88.0,73,96,3.0,US,1596063055
508,mahon,39.89,4.27,77.0,77.0,88,0,6.93,ES,1596063056
509,winnemucca,40.97,-117.74,102.2,102.2,6,20,12.75,US,1596063056
510,hanting,36.77,119.21,75.13,75.13,72,0,6.64,CN,1596063056
511,otautau,-46.15,168.0,53.29,53.29,69,100,4.92,NZ,1596063056
512,poya,-21.35,165.15,76.95,76.95,71,14,8.66,NC,1596062884
513,shahr-e kord,32.33,50.86,68.2,68.2,27,22,0.27,IR,1596063057
514,songea,-10.68,35.65,66.2,66.2,68,40,2.04,TZ,1596063057
515,petrivka,46.97,30.96,71.31,71.6,73,9,2.24,UA,1596063058
516,vanavara,60.34,102.28,55.83,55.83,77,60,9.53,RU,1596063058
517,cordoba,-31.41,-64.18,52.07,55.0,34,0,10.29,AR,1596062443
518,gladstone,-23.85,151.25,57.2,57.2,71,0,4.7,AU,1596062784
519,kalawit,8.07,122.52,79.2,79.2,84,95,6.64,PH,1596063059
520,aasiaat,68.71,-52.87,40.73,40.73,81,99,5.79,GL,1596063059
521,ferrol,43.48,-8.24,67.64,68.0,77,0,3.36,ES,1596063059
522,chippewa falls,44.94,-91.39,81.05,82.4,42,1,5.82,US,1596063001
523,san juan del sur,11.25,-85.87,75.2,75.2,78,40,14.79,NI,1596063060
524,mizdah,31.45,12.98,71.92,71.92,61,0,11.48,LY,1596063060
525,berberati,4.26,15.79,67.46,67.46,99,48,1.81,CF,1596063060
526,gat,31.61,34.76,77.25,82.0,57,0,1.61,IL,1596063060
527,mabaruma,8.2,-59.78,78.58,78.58,86,80,6.2,GY,1596063061
528,dhidhdhoo,6.88,73.1,82.11,82.11,78,100,16.15,MV,1596063061
529,ust-kuyga,70.02,135.6,44.04,44.04,72,100,5.68,RU,1596063061
530,goderich,43.75,-81.72,73.33,75.0,75,22,1.83,CA,1596062558
531,diamantino,-14.41,-56.45,78.28,78.28,40,19,4.23,BR,1596062998
532,sylacauga,33.17,-86.25,81.09,82.99,83,90,6.73,US,1596063062
533,sinnamary,5.38,-52.95,79.36,79.36,82,82,10.85,GF,1596063062
534,bereda,43.27,-7.54,62.35,63.0,100,49,3.0,ES,1596063062
535,niquelandia,-14.47,-48.46,73.71,73.71,36,11,6.29,BR,1596063063
536,chai badan,15.2,101.13,80.13,81.0,89,81,1.19,TH,1596063063
537,kharovsk,59.96,40.19,62.02,62.02,97,100,5.01,RU,1596063063
538,sept-iles,50.2,-66.38,59.74,60.01,100,90,10.29,CA,1596062822
539,babai,22.7,77.93,77.31,77.31,86,100,0.67,IN,1596063064
540,presidencia roque saenz pena,-26.79,-60.44,46.47,46.47,56,26,5.61,AR,1596063064
541,amesbury,42.86,-70.93,83.55,84.99,62,7,7.14,US,1596063064
542,leshan,29.56,103.76,71.51,71.51,90,100,3.44,CN,1596063064
543,nyurba,63.28,118.33,55.65,55.65,74,29,3.94,RU,1596063065
544,namatanai,-3.67,152.43,83.86,83.86,70,45,6.29,PG,1596063065
545,odesskoye,54.21,72.97,49.69,49.69,73,0,6.85,RU,1596063065
546,saint-francois,46.42,3.91,63.73,64.4,59,0,2.24,FR,1596062500
547,bani,18.28,-70.33,87.01,87.01,70,31,8.99,DO,1596063066
548,altay,47.87,88.12,59.4,59.4,52,88,2.82,CN,1596063066
549,brigham city,41.51,-112.02,88.05,89.6,15,1,11.3,US,1596063066
550,khandyga,62.67,135.6,62.67,62.67,37,0,9.44,RU,1596063067
551,sorland,67.67,12.69,60.46,60.46,75,75,6.98,NO,1596063067
552,chandler,33.31,-111.84,112.69,115.0,9,1,11.41,US,1596063056
553,miranda,3.25,-76.23,82.4,82.4,61,75,10.29,CO,1596063067
554,lethem,3.38,-59.8,80.29,80.29,61,65,3.04,GY,1596063068
555,kavieng,-2.57,150.8,83.57,83.57,68,3,5.37,PG,1596063068
556,daru,-9.08,143.21,76.93,76.93,82,92,18.03,PG,1596063068
557,disna,55.57,28.2,53.89,53.89,81,6,9.57,BY,1596063068
558,mananjary,-21.22,48.33,67.12,67.12,93,96,3.76,MG,1596063069
559,kidal,18.44,1.41,92.71,92.71,37,4,16.55,ML,1596063069
560,isabela,6.71,121.97,77.0,77.0,100,90,2.24,PH,1596063069
561,murray bridge,-35.12,139.27,47.03,48.99,98,11,4.68,AU,1596063070
562,arlit,18.74,7.39,97.09,97.09,24,39,7.09,NE,1596063070
563,tibati,6.47,12.63,66.74,66.74,97,55,1.34,CM,1596063071
564,lagos,6.58,3.75,77.0,77.0,88,20,5.82,NG,1596062983
565,henties bay,-22.12,14.28,55.99,55.99,89,0,7.07,NA,1596063071
566,gori,41.98,44.12,64.29,64.29,80,5,7.05,GE,1596063072
567,beringovskiy,63.05,179.32,55.18,55.18,78,93,9.19,RU,1596063072
568,verkhnyaya inta,65.98,60.31,48.07,48.07,71,47,7.78,RU,1596063072
569,vigrestad,58.57,5.7,52.0,52.0,99,98,3.0,NO,1596063072
570,sioux lookout,50.1,-91.92,73.4,73.4,53,40,9.17,CA,1596062498
571,salinas,36.68,-121.66,68.45,71.6,60,1,17.22,US,1596063038
572,kabare,-2.47,28.82,60.73,60.73,68,35,0.16,CD,1596063073
573,paracatu,-17.22,-46.87,69.96,69.96,45,49,2.62,BR,1596063065
574,nador,35.17,-2.93,77.99,78.8,83,20,6.93,MA,1596063074
575,listvyagi,53.68,86.95,57.78,57.78,94,95,10.89,RU,1596063074
576,tommot,58.96,126.29,58.68,58.68,91,100,4.07,RU,1596063074
577,balikpapan,-1.27,116.83,77.0,77.0,100,75,8.05,ID,1596062478
578,dawei,14.08,98.2,76.75,76.75,87,100,2.28,MM,1596063075
579,kanbe,16.71,96.0,77.0,77.0,88,75,2.24,MM,1596063075
580,alberton,46.82,-64.07,68.83,68.83,92,96,4.74,CA,1596063075
581,adjumani,3.38,31.79,64.87,64.87,96,2,1.54,UG,1596063076
582,maragogi,-9.01,-35.22,74.95,74.95,76,84,13.91,BR,1596063076
583,noumea,-22.28,166.46,78.35,80.6,57,55,13.87,NC,1596063076
584,abu samrah,35.3,37.18,79.7,79.7,31,0,4.9,SY,1596063076
585,phan thiet,10.93,108.1,77.94,77.94,88,100,8.81,VN,1596063077
586,champerico,14.3,-91.92,83.77,83.77,73,59,6.02,GT,1596063077
